Priceslist,Vendor,Category,Product,Inventory,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin,Markup
members,Full Farm CSA,Organic Vegetables - Roots,Chioggia Beets,10,Y,pound,package,1 Lb,1,1,1.34,25,34
members,River Ranch Oregon Olive OIl,Home Goods,Colliding Rivers Olive Oil Sugar Scrub,5,Y,ea,package,ea 4 oz jar,1,5,6.7,25,34
members,OGC,Organic Vegetables - Mushrooms,Crimini Mushrooms,20,Y,lb,package,1 lb,1,3.95,5.25,25,33
members,Lonesome Whistle,Dry Goods,Dark Northern Rye Flour,2,Y,ea,package,1.6 lbs,1,4,5.36,25,34
members,RL Plants,Home Goods,Dark Purple Iris Rhizome,2,Y,ea,package,each,1,5,6.65,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hat,8,Y,ea,package,ea,1,13,17.29,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Extra-Large,9,Y,ea,package,ea,1,35,46.55,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Large,5,Y,ea,package,ea,1,35,46.55,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Medium,10,Y,ea,package,ea,1,35,46.55,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA Hoodie Small,18,Y,ea,package,ea,1,35,46.55,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt  Extra-Large,3,Y,ea,package,ea,1,17,22.61,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Extra Small,4,Y,ea,package,ea,1,17,22.61,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Large,37,Y,ea,package,ea,1,17,22.61,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Medium,21,Y,ea,package,ea,1,17,22.61,25,33
members,Full Farm CSA,Home Goods,Deck Family Farm and Full Farm CSA T-Shirt Small,7,Y,ea,package,ea,1,17,22.61,25,33
members,Sweet Creek,Dry Goods,Dill Relish,23,Y,ea,package,12.6 oz,1,4,5.32,25,33
members,Lonesome Whistle,Dry Goods,Einkorn Fusilli,3,Y,ea,package,0.5 lb bag,1,3.33,4.43,25,33
members,Lonesome Whistle,Dry Goods,Emmer Farro,3,Y,ea,package,1.25 lb Bag,1,4,5.36,25,34
members,OGC,Organic Vegetables - Potatoes,Fingerling Potato Medley,,Y,bag,package,1.5 lb bag,1,2.62,3.51,25,34
members,River Ranch Oregon Olive OIl,Dry Goods,Flavor Infused Olive Oil- Rosemary and Basil 100mL,2,Y,ea,package,3.38oz (100mL),1,10.95,14.67,25,34
members,River Ranch Oregon Olive OIl,Dry Goods,Flavor Infused Olive Oil- Rosemary and Basil 250mL,3,Y,ea,package,250mL,1,21.95,29.41,25,34
members,Graziers Garden,Organic Fruit,Frozen Strawberries,0,Y,bag,package,~1 lbs,1,7,9.31,25,33
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Dinner Rolls,0,Y,ea,package,bag of 6,1,5.35,7.12,25,33
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Mixed Berry Pie,0,Y,ea,package,9,1,17,22.61,25,33
members,Kiko Denzer,Home Goods,Handcrafted Egg Pushers,1,Y,ea,package,each,1,8,10.64,25,33
members,Kiko Denzer,Home Goods,Handcrafted Fancy Wooden Eating Spoons,1,Y,ea,package,each,1,20,26.6,25,33
members,RL Plants,Home Goods,Hen and Chicks Succulents,0,Y,ea,package,each,1,4,5.32,25,33
members,Spoiled Rotten Vinegar,Dry Goods,Hibiscus Vinegar,3,Y,ea,package,8 fl. oz,1,8,10.64,25,33
members,Spoiled Rotten Vinegar,Dry Goods,Honey Vinegar,4,Y,ea,package,8 fl. oz,1,8,10.64,25,33
members,Small is Beautiful Farm,Organic Fruit,Mixed Dried Fruit,0,Y,bag,package,1/2 Lb. bag,1,6,7.98,25,33
members,Camas Country Mill,Dry Goods,Organic 7-Grain Cereal,15,Y,ea,package,3 lbs,1,13.25,17.62,25,33
members,Camas Country Mill,Dry Goods,Organic Buckwheat Flour,0,Y,ea,package,3 lbs,1,8.9,11.84,25,33
members,Sourdough Bliss,Dry Goods,Organic Sourdough Seed Bread,12,Y,ea,package,ea,1,7.5,9.98,25,33
members,Sourdough Bliss,Dry Goods,Organic Sourdough Wheat Sandwich Loaf,9,Y,ea,package,ea,1,6.5,8.65,25,33
members,Camas Country Mill,Dry Goods,Organic Spelt Flour,1,Y,ea,package,2 lb. Bag,1,8.4,11.17,25,33
members,OGC,Organic Vegetables - Roots,Parsnips,0,Y,lb,package,1 lb,1,2.5,3.33,25,33
members,Spoiled Rotten Vinegar,Dry Goods,Pear Vinegar,2,Y,ea,package,8 fl. oz,1,7,9.31,25,33
members,Graziers Garden,Dry Goods,Pickled Garlic Scapes,24,Y,pt,package,pt,1,8,10.64,25,33
members,Sweet Creek,Dry Goods,Pickled Jalapenos,6,Y,ea,package,16 oz,1,7.5,9.98,25,33
members,Lone Wolf Ranch,Organic Vegetables - Leafy Greens,Purple Radish Microgreens,,Y,pk,package,1 oz. pk,1,2.5,3.33,25,33
members,Spoiled Rotten Vinegar,Dry Goods,Quince Vinegar,1,Y,ea,package,8 fl oz,1,8,10.64,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Balanced Blend - Medium Roast Coffee Beans,4,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Balanced Blend - Medium Roast Ground Coffee,9,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Breakfast Blend - Light Roast Coffee Beans,2,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Breakfast Blend - Light Roast Ground Coffee,10,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Decaf Columbia Coffee Beans,2,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Midnight Blend - Dark Roast Coffee Beans,6,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Radiant Midnight Blend - Dark Roast Ground Coffee,15,Y,ea,package,12 oz,1,11,14.63,25,33
members,OGC,Organic Vegetables - Leafy Greens,Radicchio Chiogga Head,0,Y,ea,package,each,1,2.75,3.66,25,33
members,OGC,Organic Fruit,Red DAnjou Pears,4,Y,ea,package,each,1,0.85,1.13,25,33
members,Lonesome Whistle,Dry Goods,Rise & Shine Gluten Free Pancake Mix,4,Y,ea,package,1.6 lbs,1,5.33,7.09,25,33
members,OGC,Organic Vegetables - Roots,Rutabega,0,Y,lb,package,1 lb,1,1.9,2.53,25,33
members,RL Plants,Home Goods,Sedum Palmeri Succulents,0,Y,ea,package,each,1,4,5.32,25,33
members,RL Plants,Home Goods,Sedum Rupestre Blue Spruce,0,Y,ea,package,each,1,4,5.32,25,33
members,OGC,Organic Vegetables - Mushrooms,Shiitake Mushrooms,0,Y,1/2 lb,package,1/2 lb,1,4.08,5.43,25,33
members,River Ranch Oregon Olive OIl,Home Goods,Summer Day Olive Oil Sugar Scrub,5,Y,ea,package,ea 4 oz jar,1,5,6.7,25,34
members,OGC,Organic Vegetables - Roots,Sunchokes,0,Y,lb,package,1 lb,1,4.18,5.56,25,33
members,Full Farm CSA,Organic Vegetables - Squash,Tetsakabuto Winter Squash,23,Y,ea,package,ea,1,6,7.98,25,33
members,Jar Joy Goods,Home Goods,The Daily Jar Tote/Jar Bag: Organic Waxed Canvas-WFTO Certified,3,Y,ea,package,each,1,41.95,55.79,25,33
members,Jar Joy Goods,Home Goods,The Insulated Jar Tote/Jar Bag: Hemp + Natural Rubber (Yulex),1,Y,ea,package,each,1,110.5,146.97,25,33
members,Camas Country Mill,Dry Goods,Three Sisters Porridge,5,Y,ea,package,4 lbs,1,13.25,17.62,25,33
members,Full Farm CSA,Home Goods,Tote Bag,30,Y,ea,package,ea,1,13,17.29,25,33
members,Lonesome Whistle,Dry Goods,Up & At Em Pancake Mix,2,Y,ea,package,1.6 lbs,1,5.33,7.09,25,33
members,Radiant Coffee Roasters,Dry Goods,Vietnam Lotus - Light Roast Coffee Beans,6,Y,ea,package,12 oz,1,11,14.63,25,33
members,Radiant Coffee Roasters,Dry Goods,Vietnam Lotus - Light Roast Ground Coffee,14,Y,ea,package,12 oz,1,11,14.63,25,33
members,Small is Beautiful Farm,Organic Vegetables - Roots,Winter Carrots,0,Y,bag,package,2# bag,1,4,5.32,25,33
members,RL Plants,Home Goods,Yellow Iris Rhizome,2,Y,ea,package,each,1,5,6.65,25,33
members,Sweet Creek,Dry Goods,Basil Tomato Sauce,0,Y,ea,package,16 oz,1,3.76,5.08,26,35
members,Reality Kitchen Nonprofit,Dry Goods,Braided Challah (seeded),3,Y,ea,package,each,1,5.25,7.09,26,35
members,Sweet Creek,Dry Goods,Cinnamon Apple Sauce,4,Y,ea,package,23 oz,1,4.54,6.13,26,35
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Cheddar Rolls,0,Y,ea,package,bag of 4,1,6.1,8.25,26,35
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Potato Loaf with Teff,0,Y,ea,package,each,1,6.25,8.5,26,36
members,Sweet Creek,Dry Goods,Pauls Dill Pickles,5,Y,ea,package,32 oz,1,5.7,7.7,26,35
members,Full Farm CSA,Organic Vegetables - Roots,Red Beets,25,Y,lb,package,1 lb,1,1.25,1.69,26,35
members,Sweet Creek,Dry Goods,Roasted Garlic Tomato Sauce,0,Y,ea,package,16 oz,1,3.76,5.08,26,35
members,My Brothers Farm,Dry Goods,Roasted Hazelnuts 12 oz.,1,Y,ea,package,12 oz bag,1,12.7,17.15,26,35
members,Reality Kitchen Nonprofit,Dry Goods,Sourdough Rye Sandwich Loaf,0,Y,ea,package,each,1,5.25,7.09,26,35
members,Sweet Creek,Dry Goods,Tomatillo Salsa,0,Y,ea,package,16 oz,1,4.4,5.94,26,35
members,Reality Kitchen Nonprofit,Dry Goods,Wholewheat Multigrain Sandwich Loaf,0,Y,ea,package,each,1,5.25,7.09,26,35
members,Full Farm CSA,Dry Goods,Wildcraft Hot Sauce,30,Y,ea,package,ea,1,8,11,27,38
members,Deck Family Farm,Sausages & Cured Meats,Bacon Ends & Pieces,0,Y,pk,package,8 oz,1,9.43,13.01,28,38
members,Deck Family Farm,"Grass-fed Beef, Organs/Lard/Bones",Beef Bones,,Y,pk,package,3-5 Lbs,1,7.15,9.87,28,38
members,Deck Family Farm,Grass-fed Beef,Beef Brisket,2,Y,ea,package,"Large, 4.3- 4.9 lbs.",1,46.75,64.52,28,38
members,Deck Family Farm,Organs/Lard/Bones,Beef Kidney,14,Y,pk,package,0.8 - 1 Lbs,1,12.87,17.76,28,38
members,Deck Family Farm,Grass-fed Beef,Beef Liver,11,Y,pk,package,0.9-1.3 Lb. pk,1,18.59,25.65,28,38
members,Deck Family Farm,Grass-fed Beef,Beef Shank Osso Buco,,Y,ea,package,2.1-2.4  lbs.,1,27.06,37.34,28,38
members,Deck Family Farm,Grass-fed Beef,Beef Stew Meat,0,Y,ea,package,.9-1.1 lbs,1,12.03,16.6,28,38
members,Deck Family Farm,Grass-fed Beef,Beef Tongue,5,Y,pk,package,2.5-3  Lbs,1,16.98,23.43,28,38
members,Deck Family Farm,Pasture-raised Poultry,Bone-In Chicken Breast,0,Y,ea,package,1-2 lbs,1,28.08,38.75,28,38
members,Deck Family Farm,Pasture-raised Pork,Boneless Pork Chop,0,Y,pk,package,1.2-1.5 Lb pk,1,17.11,23.61,28,38
members,Deck Family Farm,Sausages & Cured Meats,Bratwurst Sausage,,Y,ea,package,12 oz.,1,13,17.94,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Bulk Cajun Chaurice Sausage,,Y,pk,package,12 oz. pk,1,10.73,14.81,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Bulk Thai Curry Sausage (Sai Ua),,Y,ea,package,"12oz, Pack",1,10.73,14.81,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Cajun Chaurice Linked Sausage,,Y,pk,package,14 oz pk/ 4links,1,13,17.94,28,38
members,Deck Family Farm,Pasture-raised Poultry,Chicken Feet,0,Y,ea,package,1 lb,1,6.18,8.53,28,38
members,Deck Family Farm,Pasture-raised Poultry,Chicken Hearts,,Y,pk,package,1/2 lb. pk,1,6.18,8.53,28,38
members,Deck Family Farm,Pasture-raised Poultry,Chicken Liver,0,Y,ea,package,1/2 lb,1,7.8,10.76,28,38
members,Deck Family Farm,Sausages & Cured Meats,Country Sausage,0,Y,ea,package,12 oz,1,10.08,13.91,28,38
members,Deck Family Farm,Sausages & Cured Meats,Deck Family Farm x Olympia Provisions Saucisson DArles Salami,0,Y,ea,package,each,1,13.98,19.29,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,English Banger Linked Sausage,1,Y,pk,package,4 links/pk,1,13,17.94,28,38
members,Deck Family Farm,Sausages & Cured Meats,Fresh Garlic Sausage Links,0,Y,pk,package,12 oz / 4 count,1,11.7,16.15,28,38
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Blueberry Scone,0,Y,ea,package,each,1,2.9,4,28,38
members,Deck Family Farm,Grass-fed Beef,Ground Beef,0,Y,ea,package,1 lb,1,7.8,10.76,28,38
members,Deck Family Farm,Spring Lamb,Ground Lamb,0,Y,ea,package,1 lb,1,13,17.94,28,38
members,Deck Family Farm,Pasture-raised Pork,Ground Pork,0,Y,ea,package,1 lb,1,11.05,15.25,28,38
members,Deck Family Farm,Sausages & Cured Meats,Hikers Pepperoni Sticks,,Y,pk,package,pk,1,5.85,8.07,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Hot Italian Linked Sausage,34,Y,pk,package,14 oz packs 4 links/pk,1,13,17.94,28,38
members,Deck Family Farm,Grass-fed Beef,Korean Beef Short Ribs,0,Y,ea,package,1.2-1.4 lbs,1,16.48,22.74,28,38
members,Deck Family Farm,Spring Lamb,Lamb Chops 4 Pack,,Y,ea,package,4 Pack 1.1-1.5 Lbs,1,27.3,37.67,28,38
members,Deck Family Farm,Spring Lamb,Lamb Neck Slices,0,Y,ea,package,1.1-1.5 lb,1,13.1,18.08,28,38
members,Deck Family Farm,Spring Lamb,Lamb Shank - Whole,0,Y,ea,package,2 - 2.5 lbs,1,27.79,38.35,28,38
members,Deck Family Farm,Spring Lamb,Lamb Shoulder Roast,0,Y,ea,package,3-4 lbs.,1,32.5,44.85,28,38
members,Deck Family Farm,Sausages & Cured Meats,Landjaeger Jerky,0,Y,pk,package,3 count / 3 oz,1,10.73,14.81,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Linked Greek Loukaniko Sausage,,Y,pk,package,14 oz. pk/4 links,1,13,17.94,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Linked Thai Curry Sausage (Sai Ua),,Y,ea,package,"14oz, Pack",1,13,17.94,28,38
members,Deck Family Farm,Sausages & Cured Meats,"Olympia Provisions, Dog Treats",1,Y,pk,package,5 oz. pk,1,11.7,16.15,28,38
members,Deck Family Farm,Organic Eggs,Organic Pasture Raised Chicken Eggs,0,Y,ea,package,1 dozen,1,7.8,10.76,28,38
members,Deck Family Farm,Organic Eggs,Organic Pasture Raised Chicken Eggs,0,Y,ea,package,1/2 dozen,1,4.55,6.28,28,38
members,Deck Family Farm,Sausages & Cured Meats,"Pastrami, Sliced",9,Y,pk,package,8 oz,1,13,17.94,28,38
members,Deck Family Farm,Sausages & Cured Meats,Peppered Knife Cut Beef Jerky,0,Y,pk,package,3 oz,1,11.7,16.15,28,38
members,Deck Family Farm,Pasture-raised Pork,Pet Food Organ Mix,,Y,ea,package,1 lb,1,7.8,10.76,28,38
members,Deck Family Farm,Sausages & Cured Meats,Pork Bacon,0,Y,pk,package,8 oz,1,11.38,15.7,28,38
members,Deck Family Farm,"Organs/Lard/Bones, Pasture-raised Pork",Pork Bones,,Y,ea,package,3-5 lbs.,1,6.5,8.97,28,38
members,Deck Family Farm,Sausages & Cured Meats,Pork Frankfurter,,Y,pk,package,12 oz pk,1,13,17.94,28,38
members,Deck Family Farm,Pasture-raised Pork,Pork Shank,,Y,pk,package,2.4-3.1 Lb. pk,1,30.39,41.94,28,38
members,Deck Family Farm,Pasture-raised Pork,Pork Shoulder Roast,0,Y,ea,package,2-2.7 lbs,1,30.36,41.9,28,38
members,Deck Family Farms Hyland Artisinal Meats,Organs/Lard/Bones,Rendered Beef Tallow,0,Y,ea,package,16 oz,1,13,17.94,28,38
members,Deck Family Farms Hyland Artisinal Meats,Organs/Lard/Bones,Rendered Pork Back Fat,7,Y,ea,package,16 oz,1,9.75,13.46,28,38
members,Deck Family Farms Hyland Artisinal Meats,Organs/Lard/Bones,Rendered Pork Leaf Lard 16 oz.,,Y,ea,package,16 oz.,1,10.4,14.35,28,38
members,Deck Family Farm,Grass-fed Beef,Ribeye Steak,0,Y,ea,package,0.8-1.1 lbs,1,25.01,34.51,28,38
members,Deck Family Farm,Sausages & Cured Meats,"Roast Beef, Sliced",0,Y,pk,package,8 oz,1,13,17.94,28,38
members,Deck Family Farm,Sausages & Cured Meats,Sage and Sea Salt Pork Breakfast Sausage,0,Y,pk,package,each,1,10.08,13.91,28,38
members,Deck Family Farms Hyland Artisinal Meats,Sausages & Cured Meats,Seasonal*   Chorizo Verde,94,Y,pk,package,14 oz pk,1,13,17.94,28,38
members,Deck Family Farm,Grass-fed Beef,Short Ribs,0,Y,ea,package,1.3-2.1 lbs.,1,18.23,25.16,28,38
members,Deck Family Farm,Sausages & Cured Meats,Smoked Kielbasa Sausage,0,Y,pk,package,12 oz,1,12.68,17.5,28,38
members,Deck Family Farm,Pasture-raised Pork,Spare Ribs,0,Y,pk,package,2-3 lb,1,19.5,26.91,28,38
members,Deck Family Farm,Sausages & Cured Meats,Sweet Italian Sausage Links,0,Y,pk,package,12 oz 4 count,1,11.7,16.15,28,38
members,Deck Family Farm,Sausages & Cured Meats,Tamari Pressed Beef Jerky,0,Y,pk,package,3 oz,1,11.7,16.15,28,38
members,Deck Family Farm,Organs/Lard/Bones,Turkey Feet,,Y,ea,package,2 lb.,1,7.8,10.76,28,38
members,Deck Family Farm,Organs/Lard/Bones,Unrendered Beef Tallow,3,Y,pk,package,2-3.7 Lb pk,1,9.26,12.78,28,38
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Apple Pie,20,Y,ea,package,6,1,7.5,10.5,29,40
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Brownie Bite with Chocolate Chips,0,Y,ea,package,each,1,2.5,3.5,29,40
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Cinnamon Roll Pan,0,Y,ea,package,6,1,6,8.5,29,42
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Half Almond Loaf Sliced,0,Y,ea,package,each,1,5,7,29,40
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Mini Banana Bread Loaf,0,Y,ea,package,each,1,5,7,29,40
members,Elegant Elephant Baking Co.,Dry Goods,Pizza Dough,0,Y,ea,package,each,1,4.75,6.89,31,45
members,Reality Kitchen Nonprofit,Dry Goods,Braided Challah (plain),0,Y,ea,package,each,1,5.25,7.72,32,47
members,Elegant Elephant Baking Co.,Dry Goods,Chocolate Donut,0,Y,ea,package,each,1,2.35,3.5,33,49
members,Full Farm CSA,Organic Fruit,Frozen Blueberries,30,Y,bag,package,~1.0 lbs,1,4.25,6.38,33,50
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Banana Cream Pie,0,Y,ea,package,6,1,8,12,33,50
members,Elegant Elephant Baking Co.,Dry Goods,Gluten Free Chocolate Cream Pie,0,Y,ea,package,6,1,8,12,33,50
members,OGC,Organic Vegetables - Potatoes,Russet potatoes,,Y,bag,package,3 Lb bag,1,2,3,33,50
members,Elegant Elephant Baking Co.,Dry Goods,Croutons,0,Y,ea,package,each,1,5.25,8.4,38,60
members,Elegant Elephant Baking Co.,Dry Goods,Seven Layer Cookie,0,Y,ea,package,each,1,2.5,4,38,60
